Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Schizophrenia	5/1923	0.003631907269903502	0.014718359438791972	0	0	6.729480113213168	37.806201442796606	GABRB3;GABRB2;GABRA1;KCNIP1;GABRG2
Myoclonus	2/154	0.003695799506657015	0.014718359438791972	0	0	26.1	146.17457352768994	GABRB3;KCNC1
Myoclonic Seizures	2/156	0.003790209421286504	0.0148340954936558	0	0	25.758441558441557	143.61191514014556	GABRA1;GABRG2
Atypical absence seizure	1/7	0.0041930151049605156	0.01613244794620402	0	0	302.75757575757575	1657.3964565725007	GABRB3
Tonic - clonic seizures	2/173	0.004637908191431057	0.016992025034449163	0	0	23.177777777777777	124.54559964711954	GABRB3;GABRG2
Primary Insomnia	1/8	0.00479070309341298	0.016992025034449163	0	0	259.4935064935065	1385.975083259077	GABRB3
Early Awakening	1/8	0.00479070309341298	0.016992025034449163	0	0	259.4935064935065	1385.975083259077	GABRB3
EARLY REPOLARIZATION ASSOCIATED WITH VENTRICULAR FIBRILLATION	1/8	0.00479070309341298	0.016992025034449163	0	0	259.4935064935065	1385.975083259077	DPP6
Seizure, Febrile, Simple	1/8	0.00479070309341298	0.016992025034449163	0	0	259.4935064935065	1385.975083259077	GABRG2
Seizure, Febrile, Complex	1/9	0.0053880625223818295	0.01881677219354885	0	0	227.04545454545453	1185.9876925180256	GABRG2
Lennox-Gastaut syndrome	1/10	0.00598509351248777	0.02058509435355642	0	0	201.8080808080808	1032.9512945731403	GABRB3
Abnormality of brainstem morphology	1/11	0.006581796197874835	0.02214295035827397	0	0	181.61818181818182	912.3494182081016	GABRB3
Ataxia	2/208	0.006633130503800132	0.02214295035827397	0	0	19.205825242718447	96.3302430872716	GABRA1;KCNC1
Generalized Epilepsy with Febrile Seizures Plus	1/12	0.007178170714881846	0.022949926088425058	0	0	165.099173553719	815.046857216495	GABRG2
Generalized tonic seizures	1/12	0.007178170714881846	0.022949926088425058	0	0	165.099173553719	815.046857216495	GABRB3
Central Precocious Puberty	1/12	0.007178170714881846	0.022949926088425058	0	0	165.099173553719	815.046857216495	GABRA1
Familial Epilepsies	1/13	0.007774217207607984	0.02451037925176406	0	0	151.33333333333334	735.0172993440868	GABRG2
Drug abuse	2/229	0.007987630221760503	0.024838247401912796	0	0	17.41057268722467	84.09064872952908	GABRA1;GABRG2
Encephalopathies	2/234	0.008327148243193512	0.025333005751385137	0	0	17.03103448275862	81.54858226858137	GABRB3;GABRA1
Falls	1/14	0.008369935820942226	0.025333005751385137	0	0	139.6853146853147	668.1300945358273	GABRB3
Tremor, Rubral	1/16	0.00956039001281181	0.027823186319336935	0	0	121.04848484848485	562.8907982194623	GABRA1
Ataxia, Motor	1/16	0.00956039001281181	0.027823186319336935	0	0	121.04848484848485	562.8907982194623	GABRA1
Paroxysmal familial ventricular fibrillation	1/16	0.00956039001281181	0.027823186319336935	0	0	121.04848484848485	562.8907982194623	DPP6
Atypical Inclusion-Body Disease	1/18	0.010749534506708167	0.029757857719789678	0	0	106.79679144385027	484.0984098875249	KCNC1
May-White Syndrome	1/18	0.010749534506708167	0.029757857719789678	0	0	106.79679144385027	484.0984098875249	KCNC1
Familial Progressive Myoclonic Epilepsy	1/18	0.010749534506708167	0.029757857719789678	0	0	106.79679144385027	484.0984098875249	KCNC1
Biotin-Responsive Encephalopathy	1/18	0.010749534506708167	0.029757857719789678	0	0	106.79679144385027	484.0984098875249	KCNC1
Intellectual Disability	5/2503	0.011317407682232189	0.030952428239357913	0	0	5.001143772160586	22.412191894542893	GABRB3;GABRA1;DPP6;KCNC1;GABRG2
Action Myoclonus-Renal Failure Syndrome	1/20	0.011937370540334344	0.03225932276971305	0	0	95.54545454545455	423.0830518492731	KCNC1
Bipolar Disorder	3/837	0.012102686697426035	0.032321292709596584	0	0	7.655475619504396	33.793778925322364	GABRB3;GABRB2;GABRA1
Benign Rolandic Epilepsy	1/22	0.013123899368825872	0.03464099019445899	0	0	86.43722943722943	374.56020373045595	GABRG2
Isodicentric Chromosome 15 Syndrome	1/23	0.013716673976595	0.035789482674563965	0	0	82.50413223140495	353.872030109198	GABRB3
Personality Disorders	1/27	0.016084510729761806	0.04149072654154466	0	0	69.7972027972028	288.2553656873905	GABRB3
Mood Disorders	2/336	0.016617348468846282	0.04166931573786568	0	0	11.768862275449102	48.22065403296807	GABRB2;GABRA1
Ataxia, Sensory	1/28	0.01667565529767051	0.04166931573786568	0	0	67.20875420875421	275.1395602176083	GABRA1
Dull intelligence	3/947	0.016888004616227498	0.04166931573786568	0	0	6.72457627118644	27.444015847931404	GABRB3;GABRA1;DPP6
Low intelligence	3/947	0.016888004616227498	0.04166931573786568	0	0	6.72457627118644	27.444015847931404	GABRB3;GABRA1;DPP6
Juvenile Neuronal Ceroid Lipofuscinosis	1/29	0.017266474337105393	0.04214505026368736	0	0	64.8051948051948	263.043544162992	KCNIP3
Amyotrophic Lateral Sclerosis With Dementia	1/30	0.017856968008938604	0.04312267806413897	0	0	62.56739811912226	251.8563944353508	DPP6
Reduced number of teeth	1/31	0.018447136470887412	0.04365044883250237	0	0	60.47878787878788	241.48249384895686	DPP6
Poor school performance	3/985	0.018760020147386806	0.04365044883250237	0	0	6.4514596062457565	25.65117927057735	GABRB3;GABRA1;DPP6
Amblyopia	1/32	0.019036979887302796	0.04365044883250237	0	0	58.52492668621701	231.83899894541258	DPP6
Unverricht-Lundborg Syndrome	1/32	0.019036979887302796	0.04365044883250237	0	0	58.52492668621701	231.83899894541258	KCNC1
Epilepsy, Rolandic	1/32	0.019036979887302796	0.04365044883250237	0	0	58.52492668621701	231.83899894541258	GABRG2
Oral cleft	1/33	0.01962649841488355	0.044111040991866995	0	0	56.69318181818182	222.85379213708367	GABRB3
Delusions	1/33	0.01962649841488355	0.044111040991866995	0	0	56.69318181818182	222.85379213708367	GABRB3
Amyotrophic Lateral Sclerosis, Guam Form	1/34	0.020215692219209058	0.04412463590154284	0	0	54.972451790633606	214.4638136267328	DPP6
Underweight	1/34	0.020215692219209058	0.04412463590154284	0	0	54.972451790633606	214.4638136267328	DPP6
Cleft Lip with or without Cleft Palate	1/34	0.020215692219209058	0.04412463590154284	0	0	54.972451790633606	214.4638136267328	GABRB3
Tooth agenesis	1/35	0.02080456145623845	0.04413677991183297	0	0	53.35294117647059	206.61369382894844	DPP6
PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA	1/35	0.02080456145623845	0.04413677991183297	0	0	53.35294117647059	206.61369382894844	KCNIP3
Ventricular Fibrillation	1/35	0.02080456145623845	0.04413677991183297	0	0	53.35294117647059	206.61369382894844	DPP6
Mental deficiency	3/1032	0.021233574897100312	0.04462982871890528	0	0	6.141561386459346	23.658348527654738	GABRB3;GABRA1;DPP6
Pelvic Organ Prolapse	1/37	0.02198132687986945	0.045361465470276044	0	0	50.38383838383838	192.34342502593887	DPP6
Corpus Luteum Cyst	1/37	0.02198132687986945	0.045361465470276044	0	0	50.38383838383838	192.34342502593887	GABRA1
Weight less than 3rd percentile	1/38	0.02256922338610946	0.04587832182224584	0	0	49.01965601965602	185.84175607013447	DPP6
Anxiety Disorders	2/396	0.022636000194235832	0.04587832182224584	0	0	9.946192893401015	37.6783042922362	GABRB3;GABRG2
Abnormal coordination	1/40	0.02374404479036207	0.04769821387090433	0	0	46.5011655011655	173.93405340895535	GABRA1
Alcoholic Intoxication	1/41	0.024330970017212364	0.04811306238064745	0	0	45.336363636363636	168.47016546086343	GABRA1
Attention deficit hyperactivity disorder	2/412	0.02437445891530598	0.04811306238064745	0	0	9.550243902439025	35.47170175678492	DPP6;KCNIP1
Ataxia, Truncal	1/44	0.026089805695170006	0.051055050800030956	0	0	42.167019027484145	153.74983290143678	GABRA1
Sleeplessness	1/45	0.026675438127783887	0.05175490987185421	0	0	41.20661157024794	149.33325716982057	GABRB3
Mental Retardation	3/1158	0.028738007567492785	0.05528413320187171	0	0	5.435209235209236	19.29246392806072	GABRB3;GABRA1;DPP6
Muscle hypotonia	2/460	0.02991118911805221	0.05701970936147766	0	0	8.528384279475983	29.930557801778214	GABRA1;GABRG2
Tachycardia, Ventricular	1/51	0.030182459639590885	0.05701970936147766	0	0	36.25090909090909	126.89610172901739	KCNIP2
Anxiety	2/464	0.030393765782990297	0.05701970936147766	0	0	8.452813852813852	29.530055355055588	GABRB3;GABRG2
Mental deterioration	1/53	0.031348890445829294	0.05832949287871516	0	0	34.85314685314685	120.68168393395273	GABRB3
Autistic behavior	1/54	0.03193162350337226	0.058455472058592764	0	0	34.19382504288165	117.76895070161899	GABRB3
Action Tremor	1/54	0.03193162350337226	0.058455472058592764	0	0	34.19382504288165	117.76895070161899	GABRA1
Ataxia, Appendicular	1/57	0.03367789522880521	0.06115905773551027	0	0	32.357142857142854	109.72027527854156	GABRA1
Angelman Syndrome	1/60	0.035421279144613474	0.06381452671291475	0	0	30.70724191063174	102.57577696947945	GABRB3
Aura	1/61	0.03600176612865679	0.06384688211878978	0	0	30.193939393939395	100.37030934492944	GABRB3
Awakening Epilepsy	1/61	0.03600176612865679	0.06384688211878978	0	0	30.193939393939395	100.37030934492944	GABRB3
Epilepsy, Cryptogenic	1/63	0.03716177957627267	0.06539320902181314	0	0	29.21700879765396	96.19625574937483	GABRB3
Dentatorubral-Pallidoluysian Atrophy	1/66	0.03889940085101994	0.0674058320090193	0	0	27.864335664335666	90.46926829385504	KCNC1
Cleft palate with cleft lip	1/66	0.03889940085101994	0.0674058320090193	0	0	27.864335664335666	90.46926829385504	GABRB3
Injuries, Acute Brain	1/70	0.04121175798431784	0.06929680786992704	0	0	26.243741765480895	83.69212377043256	GABRB3
Brain Injuries, Focal	1/70	0.04121175798431784	0.06929680786992704	0	0	26.243741765480895	83.69212377043256	GABRB3
Brain Injuries	1/70	0.04121175798431784	0.06929680786992704	0	0	26.243741765480895	83.69212377043256	GABRB3
Brain Lacerations	1/70	0.04121175798431784	0.06929680786992704	0	0	26.243741765480895	83.69212377043256	GABRB3
Essential Tremor	1/71	0.04178904990512319	0.06975084065046298	0	0	25.867532467532467	82.13254394590726	GABRA1
Long QT Syndrome	1/73	0.042942678013426154	0.07115319641640684	0	0	25.146464646464647	79.15828251915687	KCND2
Ovarian Cysts	1/75	0.04409503288389166	0.07182425375984339	0	0	24.464373464373466	76.36329437117712	GABRA1
Autism Spectrum Disorders	2/572	0.044578843539940904	0.07182425375984339	0	0	6.8133333333333335	21.192845348189884	GABRB3;DPP6
Amphetamine-Related Disorders	1/76	0.04467073326473782	0.07182425375984339	0	0	24.136969696969697	75.02824312324114	GABRG2
Amphetamine Abuse	1/76	0.04467073326473782	0.07182425375984339	0	0	24.136969696969697	75.02824312324114	GABRG2
PANIC DISORDER 1	1/77	0.04524611580465905	0.07182425375984339	0	0	23.818181818181817	73.7324794714548	GABRB3
Amphetamine Addiction	1/77	0.04524611580465905	0.07182425375984339	0	0	23.818181818181817	73.7324794714548	GABRG2
Liver Cirrhosis, Alcoholic	1/93	0.05440914131550411	0.08459503478506461	0	0	19.6600790513834	57.23487628907971	GABRG2
Panic Disorder	1/93	0.05440914131550411	0.08459503478506461	0	0	19.6600790513834	57.23487628907971	GABRB3
PARKINSON DISEASE, LATE-ONSET	1/93	0.05440914131550411	0.08459503478506461	0	0	19.6600790513834	57.23487628907971	RHOT1
AMYOTROPHIC LATERAL SCLEROSIS 1	1/94	0.05497914506376962	0.08489976822772588	0	0	19.44770283479961	56.41392256593172	GABRA1
Gilles de la Tourette syndrome	1/97	0.05668726706546098	0.08694601097202462	0	0	18.83712121212121	54.06641192516822	DPP6
Amyotrophic Lateral Sclerosis	2/660	0.05765466715711107	0.08783630499774639	0	0	5.875379939209727	16.764128037363868	DPP6;RHOT1
Forced expiratory volume function	1/101	0.05896036082022865	0.0892266793746127	0	0	18.08	51.18248959763659	DPP6
Physical aggression	1/108	0.06292619702215602	0.09459766042403586	0	0	16.89124893797791	46.71769326233609	GABRB3
Aggressive reaction	1/110	0.06405647581143355	0.09503803927578704	0	0	16.579649708090074	45.56071409135395	GABRB3
Borderline Personality Disorder	1/110	0.06405647581143355	0.09503803927578704	0	0	16.579649708090074	45.56071409135395	GABRB2
Aggressive behavior	1/112	0.06518550479553244	0.09546522315216686	0	0	16.27927927927928	44.450867603715174	GABRB3
Cleft Palate	1/112	0.06518550479553244	0.09546522315216686	0	0	16.27927927927928	44.450867603715174	GABRB3
Cocaine-Related Disorders	1/113	0.06574955100746059	0.09567402614547149	0	0	16.133116883116884	43.91277015622912	GABRG2
Primary microcephaly	1/116	0.06743981835674595	0.09750852717822503	0	0	15.709881422924902	42.36200409272323	DPP6
Prader-Willi Syndrome	1/119	0.0691272821079329	0.09931577872468841	0	0	15.308166409861325	40.90044788489106	GABRB3
Generalized seizures	1/126	0.07305381834198527	0.10407458012860327	0	0	14.445818181818181	37.79833372546788	GABRB3
Cocaine Abuse	1/128	0.07417289395937883	0.10407458012860327	0	0	14.216893342877595	36.98320799361847	GABRG2
Rett Syndrome	1/129	0.07473196722890896	0.10407458012860327	0	0	14.105113636363637	36.58651144234639	GABRB3
Cleft palate, isolated	1/129	0.07473196722890896	0.10407458012860327	0	0	14.105113636363637	36.58651144234639	GABRB3
Seizures, Focal	1/129	0.07473196722890896	0.10407458012860327	0	0	14.105113636363637	36.58651144234639	GABRG2
Vesicular Stomatitis	1/133	0.07696516706764417	0.10653105441680015	0	0	13.674931129476583	35.06802532248599	KCNIP1
Hirschsprung Disease	1/135	0.07807991320183787	0.10677192949889876	0	0	13.469470827679784	34.34745298046681	GABRG2
Motor Neuron Disease	1/135	0.07807991320183787	0.10677192949889876	0	0	13.469470827679784	34.34745298046681	RHOT1
Substance Dependence	1/140	0.08086138167246056	0.10991337508771584	0	0	12.98168737737083	32.64918946753722	GABRG2
Substance abuse problem	1/155	0.08915969849005113	0.12047173545977148	0	0	11.708382526564344	28.302979280758233	GABRB3
Cocaine Dependence	1/157	0.09026093661991268	0.12123806279716082	0	0	11.557109557109557	27.795432208182255	GABRG2
Weight decreased	1/161	0.09245975231846035	0.1234609633899441	0	0	11.26590909090909	26.823924947784075	DPP6
Cleft upper lip	1/169	0.09684277590961063	0.12855736918995095	0	0	10.725108225108226	25.039550693443655	GABRB3
Delayed bone age	1/183	0.10446640471047598	0.13787135970510492	0	0	9.893106893106893	22.347437709888414	DPP6
Craniofacial Abnormalities	1/187	0.10663372384624607	0.13902102866589322	0	0	9.678396871945258	21.66369246783333	GABRB3
Familial Alzheimer Disease (FAD)	1/188	0.1071748018349397	0.13902102866589322	0	0	9.626154594069032	21.49803440968974	KCNIP3
Bronchopulmonary Dysplasia	1/188	0.1071748018349397	0.13902102866589322	0	0	9.626154594069032	21.49803440968974	GABRB2
Cognitive delay	2/966	0.11165118088774215	0.1440046480768038	0	0	3.9468879668049794	8.653061364004545	GABRB3;GABRA1
Cardiac Arrest	1/201	0.11418153310963532	0.1464362034795888	0	0	8.994545454545454	19.51785513610774	KCND2
Neurodevelopmental Disorders	1/208	0.11793347584737228	0.15039830908625565	0	0	8.687307861220905	18.57028966950272	GABRB3
Mental and motor retardation	2/1021	0.12248528633098883	0.1553305027772875	0	0	3.7230618253189403	7.817552559902873	GABRB3;GABRA1
Status Epilepticus	1/221	0.1248627470990637	0.15746579773048588	0	0	8.168595041322314	16.99509010087468	GABRA1
Global developmental delay	2/1102	0.138931568017538	0.17424014331481286	0	0	3.434181818181818	6.778298040498105	GABRB3;GABRA1
Narcolepsy	1/258	0.1443123304745244	0.17999395064679694	0	0	6.979483551467987	13.510712330375561	DPP6
Uranostaphyloschisis	1/274	0.1525995772180382	0.18929018594805833	0	0	6.565101565101565	12.34198345086723	GABRB3
Atrial Fibrillation	1/288	0.1597904964560619	0.19713284073655463	0	0	6.2404181184668985	11.44425110997637	KCNIP1
Body Height	1/314	0.17299685475042798	0.21227181636944403	0	0	5.714493174557072	10.025974644043819	GABRB3
Gastrointestinal Stromal Tumors	1/323	0.17752376792952057	0.216655351182802	0	0	5.552230378317335	9.597867347582234	KCNIP3
Mental disorders	1/329	0.18052907858272407	0.21914492426886825	0	0	5.4490022172949	9.327947538609157	GABRB2
Calcification of coronary artery	1/375	0.20323752550787305	0.24539850154408074	0	0	4.767622751579971	7.596634299158939	GABRB3
Curvature of spine	1/408	0.21917141641280938	0.26323762712014676	0	0	4.373687737324101	6.638825567444713	DPP6
Acquired scoliosis	1/418	0.2239418776406617	0.2675516117075274	0	0	4.266623065184216	6.384441361395445	DPP6
Thyroid Neoplasm	1/476	0.25108771807230085	0.29841315184509054	0	0	3.7345454545454544	5.160966020096203	KCNIP3
Pain	1/485	0.2552211099302061	0.3017457914278999	0	0	3.663410969196093	5.002845647927838	KCNIP3
Central neuroblastoma	2/1655	0.26131108460496794	0.30734516168563586	0	0	2.218390804597701	2.977177373198831	RHOT1;KCNIP3
Herpes Simplex Infections	1/503	0.26342522531100543	0.3082346708535991	0	0	3.5287939152480985	4.7073607135832125	DPP6
Neuroblastoma	2/1698	0.2712256948643442	0.3157345268420828	0	0	2.1570754716981133	2.8145606656557147	RHOT1;KCNIP3
Small head	1/570	0.29324009664001566	0.3383989157787008	0	0	3.102572295893913	3.806122644384855	DPP6
Papillary thyroid carcinoma	1/571	0.29367659210750685	0.3383989157787008	0	0	3.096969696969697	3.794643088271018	GABRB2
Mental Depression	1/575	0.295420103858361	0.33868870492852493	0	0	3.074754513778904	3.7492229932282473	GABRB3
Huntington Disease	1/627	0.31772961965615376	0.3624352947836528	0	0	2.8117920418239906	3.223872848212647	DPP6
Generalized hypotonia	1/633	0.3202616853266843	0.36349701284578667	0	0	2.784234752589183	3.1701766056901257	GABRB3
Pancreatic Neoplasm	1/665	0.3336211582269958	0.3767683738213334	0	0	2.6456736035049286	2.9042860461691196	GABRB3
Chronic Obstructive Airway Disease	1/669	0.33527405952382966	0.3767683738213334	0	0	2.6292868807838867	2.873303091180419	DPP6
Hyperactive behavior	1/709	0.3515976045885409	0.3931657942935901	0	0	2.475603492552645	2.587668928462928	GABRB3
Depressive disorder	1/741	0.36439096754793054	0.4054563539898074	0	0	2.3646191646191648	2.3871490221437655	GABRB3
Endometriosis	1/749	0.3675529442523623	0.4054563539898074	0	0	2.33835683033544	2.340433068385611	DPP6
Short stature	1/750	0.36794717586740233	0.4054563539898074	0	0	2.335113484646195	2.3346835784734665	DPP6
Cardiovascular Diseases	1/787	0.3823763594829058	0.4193209352783557	0	0	2.220911404117511	2.13507300323357	KCNIP3
Liver Cirrhosis, Experimental	1/801	0.38775684373728275	0.42317694004020756	0	0	2.1804545454545456	2.065712109149997	TRAK2
Heart failure	1/815	0.39309433012646683	0.4269493442043444	0	0	2.141389323207505	1.999427353071866	KCNIP2
Congestive heart failure	1/884	0.41878280759544995	0.4526842729722244	0	0	1.9669515082878617	1.712040203376116	KCNIP2
Degenerative polyarthritis	1/976	0.4514843419563369	0.4857201214411776	0	0	1.7727738927738927	1.4097356585945666	KCNIP3
Primary malignant neoplasm	1/1032	0.4705547530248264	0.5038487213992244	0	0	1.6715457190723921	1.2600829638316353	KCNIP3
Parkinson Disease	1/1064	0.4811773061571089	0.5128039835571067	0	0	1.6184896946891303	1.1839567025069901	RHOT1
Asthma	1/1313	0.5573963096372706	0.5912568331199086	0	0	1.294068736141907	0.7563557221259439	DPP6
Malignant Neoplasms	1/1438	0.5916552447054765	0.6246778630146194	0	0	1.1735939773518063	0.6159387010015815	KCNIP3
Leukemia, Myelocytic, Acute	1/1703	0.6563896184881687	0.6898168675778439	0	0	0.976711889755368	0.41119642417624136	DPP6
