"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","pathological diagnostic:ch1","tissue type:ch1"
"GSM831759","1030T","GSM831759","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1030T-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831759/suppl/GSM831759_1030T_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831760","103T","GSM831760","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","103T_Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831760/suppl/GSM831760_130T_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831761","1053T","GSM831761","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1053T-32-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831761/suppl/GSM831761_1053T_32_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831762","1144T","GSM831762","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1144T-2-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831762/suppl/GSM831762_1144T_2_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831763","1175T","GSM831763","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1175T-4-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831763/suppl/GSM831763_1175T_4_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831764","1190T","GSM831764","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1190T-8-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831764/suppl/GSM831764_1190T_8_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831765","1208T","GSM831765","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1208T-10-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831765/suppl/GSM831765_1208T_10_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831766","1224T","GSM831766","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1224T-12.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831766/suppl/GSM831766_1224T_12.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831767","1243T","GSM831767","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1243T-14-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831767/suppl/GSM831767_1243T_14_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831768","1247T","GSM831768","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1247T-16-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831768/suppl/GSM831768_1247T_16_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831769","130T","GSM831769","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","130T-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831769/suppl/GSM831769_103T_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831770","1319T","GSM831770","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1319T-28-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831770/suppl/GSM831770_1319T_28_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831771","1328T","GSM831771","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1328T-18-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831771/suppl/GSM831771_1328T_18_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831772","1337T","GSM831772","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1337T-20-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831772/suppl/GSM831772_1337T_20_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831773","1367T","GSM831773","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1367T-22-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831773/suppl/GSM831773_1367T_22_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831774","1426T","GSM831774","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","1426T-24-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831774/suppl/GSM831774_1426T_24_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831775","144T","GSM831775","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","144T-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831775/suppl/GSM831775_144T_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831776","145T","GSM831776","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","145T-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831776/suppl/GSM831776_145T_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
"GSM831777","147T","GSM831777","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: papillary thyroid carcinoma (PTC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","papillary thyroid carcinoma","147T-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831777/suppl/GSM831777_147T_Plus.CEL.gz","54675","papillary thyroid carcinoma (PTC)","tumour"
